"0","  df$text = gsub(""(f|ht)(tp)(s?)(://)(.*)[.|/](.*)"", "" "", df$text)"
"0","  #removing link"
"0",""
"0",""
"0",""
"0","  df$text = gsub(""[[:punct:]]"", "" "", df$text)"
"0","  #removing numbers"
"0",""
"0","  df$text <- str_replace_all(df$text,'https',"" "")"
"0",""
"0","  df$text = gsub(""^\\s+|\\s+$"", """", df$text)"
"0","  return(df)"
"0",""
"0","Uber.tweets <- Tokenization_fun(Uber.tweets)"
"0","Lyft.tweets <- Tokenization_fun(Lyft.tweets)"
"0","RSS.tweets <- rbind(Taxi.tweets, Uber.tweets, Lyft.tweets)"
"0",""
"0","metro.tweets <- Tokenization_fun(metro.tweets)"
"0","metrobus.tweets <- Tokenization_fun(metrobus.tweets)"
"0","PT.tweets <- rbind(Amtrak.tweets, metro.tweets, metrobus.tweets)"
